"","SYMBOL","ENTREZID"
"1","Aoc1","76507"
"2","Slc27a2","26458"
"3","Ltf","17002"
"4","Gabrp","216643"
"5","Tff2","21785"
"6","Foxj1","15223"
"7","Scgb3a1","68662"
"8","Meig1","104362"
"9","Pigr","18703"
"10","Agr3","403205"
"11","Pon1","18979"
"12","Cldn10","58187"
"13","Bpifb1","228801"
"14","Drc1","381738"
"15","Muc5b","74180"
"16","Klk11","56538"
"17","Spag6","381350"
"18","Chad","12643"
"19","Reg3g","19695"
"20","Resp18","19711"
"21","Gp2","67133"
"22","BC018473","193217"
"23","Lrrc23","16977"
"25","Agr2","23795"
"26","Dmbt1","12945"
"27","Bpifa1","18843"
