"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Aoc1",-2.74692906182819,7.07280989559854,-5.91336446963084,3.13311978855791e-05,0.0428078156710667,2.42744204063289
"Slc27a2",-2.37739046720401,4.73420874156499,-5.62538125491619,5.27391690096964e-05,0.0599303127708332,1.98993256614614
"Ltf",-5.16483593573277,7.16098817562995,-5.50712106087915,6.55272781565624e-05,0.0630960450838132,1.80613774855153
"Gabrp",-2.10507702969606,6.81709591959093,-5.09600412329192,0.000141403211887819,0.0947709098752352,1.14901035650811
"Tff2",-3.78492051018074,6.61035655367408,-4.77526452103062,0.000261514979601372,0.110136555407196,0.617690343723343
"Foxj1",-2.27797259391161,4.58909804929299,-4.69007477934768,0.000308538257260201,0.111354651445168,0.474010483566586
"Scgb3a1",-2.75295858774227,9.80957323397529,-4.48536386948852,0.000460561815224376,0.133220073329238,0.124683925524888
"Meig1",-2.16356969092119,5.22757446461493,-4.43179593043448,0.00051183112253346,0.133220073329238,0.0323776055862091
"Pigr",-2.19444230803588,6.75451766963633,-4.33484344937829,0.000620010735964547,0.136632365894897,-0.135569378729659
"Agr3",-2.41647857227316,5.78145257439026,-4.2895127989825,0.000678367022611148,0.142592748152863,-0.214466741422735
"Pon1",-2.06617712963437,7.47174960188836,-3.99002881383528,0.00123431671685772,0.158761980026207,-0.740992711623183
"Cldn10",-2.38647378573152,7.22881182471126,-3.95142295243559,0.00133396994705467,0.158761980026207,-0.809448431004172
"Bpifb1",-3.50365541336066,5.70694563329275,-3.94223065805483,0.00135887944759446,0.158761980026207,-0.825764942580279
"Drc1",-2.0024622688437,6.11883569172602,-3.91639417238525,0.0014314507191141,0.158761980026207,-0.871658466699187
"Muc5b",-2.57167405569815,8.00867084259352,-3.90468638923405,0.001465619548546,0.158761980026207,-0.892470801615729
"Klk11",-2.04798240878018,4.26219532246692,-3.81316615456247,0.00176287002308379,0.170298185087254,-1.05547395479966
"Spag6",-2.47041467739658,6.33911177849682,-3.58554414758366,0.00279502936869086,0.185031211394151,-1.46273924579074
"Chad",-2.03248828277861,4.93054436630647,-3.55370433791964,0.00298154925966453,0.185258067087272,-1.51984801920669
"Reg3g",-2.66534281875949,4.05351603170761,-3.45093068793108,0.00367325450930355,0.19544620812229,-1.70428733298811
"Resp18",-2.05647040937567,4.56053443250023,-3.44117641195118,0.00374673716077437,0.19544620812229,-1.72179605266719
"Gp2",-2.96309085601636,3.67400262375192,-3.31145561464546,0.00487584679677135,0.212839280460981,-1.95456855943971
"BC018473",-4.36950177752511,5.87837064669758,-3.30797469306017,0.00491042417941069,0.213666004978625,-1.96081079576876
"Lrrc23",-2.49400733317891,7.60954661484812,-3.24399011352734,0.00559132609003646,0.220156450628727,-2.07548777503102
"Cyp2a4 /// Cyp2a5",-2.10844727801795,6.40682505419387,-2.77254656712379,0.0144693687530242,0.269927881887927,-2.91167601586425
"Agr2",-2.34086051774501,6.24542585043908,-2.58513549184409,0.0209955020763952,0.305241058146844,-3.23613201978566
"Dmbt1",-3.14058347322814,5.69104725700584,-2.55165211624529,0.0224277967327125,0.312220411004133,-3.29338930939422
"Bpifa1",-2.32485152488063,7.9038639696539,-2.17708397419232,0.0462584976902024,0.388987395401429,-3.9144383941461
