"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Anxa8",1.65325795409115,9.87157476450502,3.8416040221438,0.00341657293987704,0.0827258104954024,-1.60321558335152
"Tgtp1 /// Tgtp2",1.78280630128081,7.62561653375392,3.81750987152852,0.00355158922029667,0.0834764503579404,-1.64054654943743
"Ogn",2.24055915660146,8.16337607552825,3.13427603752179,0.0109454983622936,0.118799498642685,-2.7227718327037
"Rspo1",2.32137168608695,7.28066689796165,3.00679326288521,0.0135647121292344,0.126130035641993,-2.92794797907286
"Igfbp3",2.63417354825783,9.84126271416764,2.92184296924029,0.0156575180008409,0.133797263104718,-3.06480780449429
"Tmem88",1.58010375399027,8.68343126624015,2.91712862617025,0.0157828467994514,0.134240367150524,-3.07240308561129
"Gpm6a",2.77718669218421,7.1047968792214,2.7231461227228,0.0219250567633152,0.153405079649931,-3.38455253806685
"Gpc3",2.02281440838891,9.2192759306344,2.70613796440494,0.0225670807826507,0.155277619517387,-3.4118565937419
"Lrrn4",2.99483077838429,7.85435172492871,2.60194151974389,0.0269328210638746,0.166175979456804,-3.5787357730422
"Ifi27l2a",1.88935545460762,8.92681817517137,2.54003344959885,0.0299160801311976,0.173576915995268,-3.67748282895585
"Cadm4",1.70444097116286,8.39430016129112,2.47834363735997,0.0332150099685567,0.181517699768044,-3.77550083778932
